,name,categories,lat,lng,id,NumPunto,Estrato,CRat,Rat,CFot,COpi
0,El Fogón Del Llano,Cajun / Creole Restaurant,4.4689295934738515,-74.12799602187397,4f4a782de4b0cccedd61818b,134,2,SC,NR,0.0,0.0
1,Plaza de Usme,Plaza,4.469969710230034,-74.12636328136122,4f4a3862e4b0eddb52dd97bb,135,2,SC,NR,12.0,0.0
2,Juan Valdez,Café,4.477762699127197,-74.12213134765625,537260f7498e7c622a9bf03a,245,1,SC,NR,0.0,0.0
3,agroparque los soches,Field,4.483056145092683,-74.09194960323491,51ebe330498eecb9a833ac50,367,1,SC,NR,3.0,0.0
4,Lacteos Santa Monica,Health Food Store,4.490626,-74.148808,5bd1f68e12c8f0002cc8b39c,445,2,SC,NR,0.0,0.0
5,Parque Nacional Natural Sumapaz,Mountain,4.496648961394032,-74.12215794725158,4f4a9b3fe4b0962089c459a9,576,1,SC,NR,12.0,0.0
6,Parque cantarrana,Dog Run,4.496933111827516,-74.11783375499513,50e34c2ee4b05f2b166bd9bd,578,1,SC,NR,5.0,2.0
7,Panaderia Ramirez 2,Deli / Bodega,4.4977730000000005,-74.108141,536e92eb498ecc66d33654db,583,1,SC,NR,1.0,0.0
8,Cafeteria Santillana,Breakfast Spot,4.5014995256525125,-74.11566588631116,5174383a498e0a5532ec0c34,640,2,SC,NR,0.0,0.0
9,Piscina El Virrey,Pool,4.501300957950042,-74.11174874785438,519cdfa1498e7eaa753af41b,642,2,SC,NR,3.0,2.0
10,Comedor Comunitario Johnson.,Restaurant,4.500749,-74.086566,50df066ae4b0fe5bc7274c23,654,1,SC,NR,1.0,0.0
11,Home Theater,Movie Theater,4.503666,-74.109735,4efccc48722e0f076f16f676,704,2,SC,NR,0.0,0.0
12,Avícola Campollo,Cheese Shop,4.5040101779091835,-74.1049638182254,4f5f87f9e4b04ddc399a1a8d,706,1,SC,NR,0.0,0.0
13,4 Patas Pet Shop,Pet Store,4.508254132373328,-74.11900520324706,51d258ae498ed94964e9fb83,758,2,SC,NR,4.0,1.0
14,Chimeneas F&F S.A.S.,Furniture / Home Store,4.507222625824126,-74.11999159358976,5af0ba219fca56002ce1366c,758,2,SC,NR,2.0,0.0
15,Yomaza,Park,4.507914789216188,-74.1141518044261,4e8b965bb8f7a1fe8da9ee61,761,2,SC,NR,3.0,0.0
16,Flota La Macarena Yomasa,Bus Station,4.507200877996314,-74.11340049410423,50bb6b9ae4b0c22baab7d285,761,2,SC,NR,2.0,0.0
17,Zion,Bar,4.508174408365688,-74.11021742844542,50023894e4b09da8b0151113,763,2,SC,NR,0.0,0.0
18,Piqueteadero LAS MERCEDES,Restaurant,4.507542610168457,-74.09040832519531,562bb510498eec3424a9a605,773,1,SC,NR,1.0,0.0
19,Punto De Energia Colombian Power,Bakery,4.510779,-74.120913,518d2ef0498e7a6ceec91d5f,816,2,SC,NR,2.0,0.0
20,marichuela,Cocktail Bar,4.511807623835835,-74.1166580621272,50ac1f87e4b065fd4eef1198,818,2,SC,NR,7.0,0.0
21,MUDANZAS E.P.J SAS,Home Service,4.510849826179343,-74.11613171982955,5f4f0cbd88944a58b5ca99a3,819,2,SC,NR,6.0,0.0
22,Acapulco,Mexican Restaurant,4.514304672031312,-74.11635410130798,4d6c4864d691236a635f924c,884,2,SC,NR,4.0,1.0
23,Restaurante El Viejo Farol,Restaurant,4.5139445736268256,-74.09389404954754,4fdb777ae4b09756c1760323,895,1,SC,NR,2.0,0.0
24,Patio Sitp Juan Rey,Bus Station,4.519225244162317,-74.09119820414794,524082c0498ed5f846db7c58,966,1,SC,NR,0.0,0.0
25,Eds Brio Hato Grande,Gas Station,4.5226891,-74.12534040000001,5d5dcc296a2b170008f71205,1020,2,SC,NR,0.0,0.0
26,Country of Beer,Beer Bar,4.522638,-74.121563,57c11847cd10129f95098ce5,1022,2,SC,NR,0.0,0.0
27,Grupo Barreto S.A.S,Business Service,4.5213824,-74.11726949999998,5f0f4810a1d01f7f10057a54,1024,2,SC,NR,6.0,0.0
28,TALLER FLORAL,Flower Shop,4.52442,-74.08995999999998,5d2e8916c46dcb000836d5fe,1111,1,SC,NR,5.0,0.0
29,Patricia napoleón,BBQ Joint,4.52449369430542,-74.08605194091797,53d14128498ec00d8f8c2bab,1113,1,SC,NR,0.0,0.0
30,Parque Ecologico Distrital De Montaña Entrenubes,Park,4.528450557015919,-74.11195521693094,4fd8b7f8e4b073285bbb08a4,1172,1,SC,NR,1.0,0.0
31,TransMilenio: Portal de Usme,Bus Station,4.5318617693320045,-74.11936501220809,5053c92be4b0d211d0055980,1243,2,SC,NR,30.0,8.0
32,Altavista Centro Comercial,Shopping Mall,4.5315329172010514,-74.11795419140904,4e7395b41495dffb8efb639a,1244,2,51.0,6.9,31.0,7.0
33,Royal Films Multicine Altavista,Multiplex,4.532755566945491,-74.11808582368954,4fdf96fde4b0f37d57c9a91f,1244,2,17.0,6.3,12.0,5.0
34,Éxito,Big Box Store,4.531712834144263,-74.11820079906275,4e4474e7814d44eea0fe9fa2,1244,2,9.0,6.1,0.0,4.0
35,"Comedor Comunitario Minuto De María, Ciudad Bolívar.",Coffee Shop,4.536741999999999,-74.143336,511e6b65e4b024e577f16386,1304,1,SC,NR,0.0,0.0
36,SPECIALIZED SERVICES COMPANY S.A.S – SSC,Home Service,4.5395210140460165,-74.10509753921738,5c6f6ce28ad62e002c87b547,1393,1,SC,NR,5.0,0.0
37,Parque Entre Nubes,Outdoors & Recreation,4.5392142186496365,-74.09369903223941,4e43ed7cae605a14b7dfb7ef,1399,2,10.0,6.7,11.0,2.0
38,History Love Confections,Print Shop,4.5384,-74.082261,5b0c9792aa6c95002c9c242e,1405,2,SC,NR,1.0,0.0
39,Las Quintas Del Sur,Park,4.546106538028184,-74.13999848484809,4fdb8f12e4b0fb3c20d0d964,1520,2,SC,NR,1.0,0.0
40,Alqui Equipos MT SAS,Construction & Landscaping,4.546317,-74.13755499999998,5d311896e43d9300087fc3a5,1521,2,SC,NR,6.0,0.0
