,name,categories,lat,lng,id,NumPunto
0,El Fogón Del Llano,Cajun / Creole Restaurant,4.468929593473851,-74.12799602187397,4f4a782de4b0cccedd61818b,134
1,Plaza de Usme,Plaza,4.469969710230034,-74.12636328136122,4f4a3862e4b0eddb52dd97bb,135
2,Juan Valdez,Café,4.477762699127197,-74.12213134765625,537260f7498e7c622a9bf03a,245
3,agroparque los soches,Field,4.483056145092683,-74.09194960323491,51ebe330498eecb9a833ac50,367
4,Lacteos Santa Monica,Health Food Store,4.490626,-74.148808,5bd1f68e12c8f0002cc8b39c,445
5,Parque Nacional Natural Sumapaz,Mountain,4.4966489613940315,-74.12215794725158,4f4a9b3fe4b0962089c459a9,576
6,Parque cantarrana,Dog Run,4.4969331118275155,-74.11783375499512,50e34c2ee4b05f2b166bd9bd,578
7,Panaderia Ramirez 2,Deli / Bodega,4.497773,-74.108141,536e92eb498ecc66d33654db,583
8,Cafeteria Santillana,Breakfast Spot,4.501499525652514,-74.11566588631116,5174383a498e0a5532ec0c34,640
9,Piscina El Virrey,Pool,4.501300957950041,-74.11174874785438,519cdfa1498e7eaa753af41b,642
10,Comedor Comunitario Johnson.,Restaurant,4.500749,-74.086566,50df066ae4b0fe5bc7274c23,654
11,Home Theater,Movie Theater,4.503666,-74.109735,4efccc48722e0f076f16f676,704
12,Avícola Campollo,Cheese Shop,4.504010177909183,-74.1049638182254,4f5f87f9e4b04ddc399a1a8d,706
13,4 Patas Pet Shop,Pet Store,4.508254132373328,-74.11900520324707,51d258ae498ed94964e9fb83,758
14,Chimeneas F&F S.A.S.,Furniture / Home Store,4.507222625824126,-74.11999159358976,5af0ba219fca56002ce1366c,758
15,Yomaza,Park,4.507914789216188,-74.11415180442609,4e8b965bb8f7a1fe8da9ee61,761
16,Flota La Macarena Yomasa,Bus Station,4.507200877996314,-74.11340049410424,50bb6b9ae4b0c22baab7d285,761
17,Zion,Bar,4.508174408365689,-74.11021742844542,50023894e4b09da8b0151113,763
18,Piqueteadero LAS MERCEDES,Restaurant,4.507542610168457,-74.09040832519531,562bb510498eec3424a9a605,773
19,Punto De Energia Colombian Power,Bakery,4.510779,-74.120913,518d2ef0498e7a6ceec91d5f,816
20,marichuela,Cocktail Bar,4.511807623835834,-74.1166580621272,50ac1f87e4b065fd4eef1198,818
21,MUDANZAS E.P.J SAS,Home Service,4.510849826179343,-74.11613171982955,5f4f0cbd88944a58b5ca99a3,819
22,Acapulco,Mexican Restaurant,4.514304672031311,-74.11635410130798,4d6c4864d691236a635f924c,884
23,Restaurante El Viejo Farol,Restaurant,4.513944573626825,-74.09389404954754,4fdb777ae4b09756c1760323,895
24,Patio Sitp Juan Rey,Bus Station,4.519225244162315,-74.09119820414793,524082c0498ed5f846db7c58,966
25,Eds Brio Hato Grande,Gas Station,4.5226891,-74.1253404,5d5dcc296a2b170008f71205,1020
26,Country of Beer,Beer Bar,4.522638,-74.121563,57c11847cd10129f95098ce5,1022
27,Grupo Barreto S.A.S,Business Service,4.5213824,-74.1172695,5f0f4810a1d01f7f10057a54,1024
28,Radio Extrema,Music Venue,4.5243063,-74.1262,57464ca0498e42fbd7841443,1093
29,TALLER FLORAL,Flower Shop,4.52442,-74.08996,5d2e8916c46dcb000836d5fe,1111
30,Patricia napoleón,BBQ Joint,4.52449369430542,-74.08605194091797,53d14128498ec00d8f8c2bab,1113
31,Parque Ecologico Distrital De Montaña Entrenubes,Park,4.528450557015919,-74.11195521693094,4fd8b7f8e4b073285bbb08a4,1172
32,TransMilenio: Portal de Usme,Bus Station,4.531861769332005,-74.1193650122081,5053c92be4b0d211d0055980,1243
33,Altavista Centro Comercial,Shopping Mall,4.531532917201052,-74.11795419140905,4e7395b41495dffb8efb639a,1244
34,Royal Films Multicine Altavista,Multiplex,4.532755566945491,-74.11808582368954,4fdf96fde4b0f37d57c9a91f,1244
35,Éxito,Big Box Store,4.531712834144263,-74.11820079906275,4e4474e7814d44eea0fe9fa2,1244
36,"Comedor Comunitario Minuto De María, Ciudad Bolívar.",Coffee Shop,4.536742,-74.143336,511e6b65e4b024e577f16386,1304
37,SPECIALIZED SERVICES COMPANY S.A.S – SSC,Home Service,4.539521014046016,-74.10509753921737,5c6f6ce28ad62e002c87b547,1393
38,Parque Entre Nubes,Outdoors & Recreation,4.539214218649638,-74.09369903223941,4e43ed7cae605a14b7dfb7ef,1399
39,History Love Confections,Print Shop,4.5384,-74.082261,5b0c9792aa6c95002c9c242e,1405
40,Las Quintas Del Sur,Park,4.546106538028184,-74.13999848484809,4fdb8f12e4b0fb3c20d0d964,1520
41,Alqui Equipos MT SAS,Construction & Landscaping,4.546317,-74.13755499999999,5d311896e43d9300087fc3a5,1521
42,Cerro Sur,Mountain,4.5453734,-74.1201,4f0bfe0be4b0e4e35bb2a93e,1530
43,Video Rockola La Tia,Bar,4.5454512912399085,-74.09168001764782,547528da498e356dc5fb3c34,1544
44,crepes & panes,Italian Restaurant,4.54603487024545,-74.08974702032616,4fac0681e4b0db927d104d2a,1545
45,Mariachis mi pais,Music Store,4.5460717,-74.087214,5dcd53ac9a65eb00087ffecc,1546
46,Panaderia La Caqueceña,Bakery,4.5461983139318285,-74.08667253862203,509bc331e4b03fb1c464157e,1546
47,Cafetería La Picota,Coffee Shop,4.5503154610106185,-74.11765849397526,4f575401e4b060fb2fb45087,1604
48,Picota Resort,Resort,4.549102,-74.116008,4da490c7f889cbfffa021140,1605
49,Centro Mayor-Parrilla & Picaditas,BBQ Joint,4.549375730809741,-74.10921948322934,50c390a7e4b04a2d9ce536b7,1608
50,BLE Gelato - Heladería y frutería,Ice Cream Shop,4.548806190490723,-74.09298706054688,5435a8d8498e90a92ca36f11,1616
51,Molispan,Bakery,4.552703873308193,-74.11739510361365,4f6094d4e4b0d8a157159b6b,1678
52,Pescaderia Costa Verde,Seafood Restaurant,4.552914,-74.11622,56b3a7b6498e3734d51199c1,1679
53,La Tola Bar,Bar,4.552077316580408,-74.10797491193365,541522c1498e3687681e06e1,1683
54,Cade La Victoria,Building,4.552522909054883,-74.09482324688781,4e34199618a8efdb17606695,1689
55,Pulidores De Concreto Y Marmol Servipisos Eb,Construction & Landscaping,4.551813289067323,-74.08746682209016,5dadd03398c98d00089516a0,1693
56,Alitas A Lo Bestia,Theme Restaurant,4.556784,-74.142977,597cfce246e1b64c18e28951,1740
57,Demoliciones Boyaca,Construction & Landscaping,4.556688826641611,-74.13791321579663,5db35d9a5986840007940a11,1743
58,Tu Boleta Centro Comercial Caracas - Molinos,Hobby Shop,4.557238512306551,-74.12226676940918,4e309ebf814d3bc23a06f65d,1751
59,El castillo de las tortas,Coffee Shop,4.556115,-74.112149,587167649c439d43abdfad29,1756
60,Mak Piko,Fried Chicken Joint,4.556162,-74.111919,5a4296f80c9f312950592fc4,1756
61,Dotancol,Clothing Store,4.5559888,-74.0971778,5a8b34d0838e597879f4f043,1763
62,Mi primer huella,Baby Store,4.560667,-74.147181,572fddbd498e6a24288792eb,1812
63,Pañalera Jhonny,Baby Store,4.560743190337008,-74.14707212764739,5b854be5b6eedb002c83dcb2,1812
64,Parque Tunjuelito,Park,4.5610488170554335,-74.12956844176841,589a142bebf0285ff883e3e9,1821
65,Donde Juan,Motorcycle Shop,4.559137,-74.12356,5977c4b486f4cc55f74e47b6,1824
66,BAIRES,Argentinian Restaurant,4.559477460671135,-74.096176884186,558381c2498e60d28ce9edfe,1838
67,Parque Bello Horizonte,Park,4.559925,-74.091965,5605c5ff498efedb7ba9a8b2,1840
68,Compensar CUR GYM,Gym / Fitness Center,4.560010652436981,-74.09169148938278,50323ac3e4b045150c1567f0,1840
69,Surtimax Tunjuelito,Market,4.563914651190805,-74.1288046209921,524710cc498e2e95d49768e1,1900
70,Piqueteadero Guatecano,Latin American Restaurant,4.5624948,-74.12699,5a2af250a92d981169f53c19,1901
71,Quinta Motos,Motorcycle Shop,4.5639195,-74.12539,567b3f75498eca74f54b2b7e,1902
72,Polideportivo Villa de los Alpes,Park,4.562756363665815,-74.09774273213259,516a9aaee4b026a6fedafb71,1916
73,bombonera,Basketball Court,4.563464450517331,-74.09594171908309,5010299ce4b06b1928a102f8,1917
74,Effective Research,Business Service,4.562735678291754,-74.04098510742188,54a8c177498e1d3830bb8b28,1944
75,Palo del Ahorcado,Mountain,4.56657946242265,-74.17104761696847,51bb6877498e0c52b571d5c7,1965
76,All Store,Electronics Store,4.567015408124679,-74.15005059892566,50b15268e4b0b42d0f84f38a,1976
77,Asadero La Gran Esquina,BBQ Joint,4.5673823,-74.145226,5df6993a1bfede00077a5432,1978
78,Comercializadora Abediar,Leather Goods Store,4.56626,-74.13637,5a6c107af1fdaf2a3cf531f9,1983
79,Cash Money,Betting Shop,4.5660178080805025,-74.12895945872233,507885d5e4b0f934e87175c3,1986
80,Emma Sua De Romero,Massage Studio,4.567603,-74.121777,5d20d9bfe7e5fc0023c49a2d,1990
81,Comida rápidas Aquí si es,Fast Food Restaurant,4.56644,-74.11619,5b0ce01ff1fdaf002c6912e2,1993
82,Panadería Alaska,Bakery,4.566191673278809,-74.11266326904297,55f58a97498ec2dada47de1c,1994
83,El Mundo de las Ranas,Arts & Crafts Store,4.56793308258057,-74.11152648925781,50805e1ce4b0ad74a6ee5e9a,1995
84,Parque Pijaos,Athletics & Sports,4.567266,-74.103194,5849a26dd43907631c85144d,1999
85,El Taller De Lilita,Arts & Crafts Store,4.566931023909598,-74.10191826292157,507ee38ee4b071f5ef872b83,2000
86,Avalengas,Construction & Landscaping,4.566958719999443,-74.08210636492922,5ef4d7313590af0008de3d06,2010
87,Circulo Colombiano de Artistas-CICA,Theater,4.566298718633991,-74.07851574160554,51f457e2498e57d6403fe4ab,2012
88,D&S Construcciones de Gas,Construction & Landscaping,4.57013,-74.16583,5abbc799fe37400df0a05710,2054
89,El Trapero 1,Restaurant,4.56971420352459,-74.15026849385652,523b3b6211d28ecec0fc97f9,2062
90,Plaza de Mercado San Carlos,Restaurant,4.569963487150568,-74.12875874310987,50a79848e4b041c06536f3d2,2072
91,Picos Tunal,Café,4.569877527125924,-74.1281852687894,4f6654c1e4b041039f6d08e8,2073
92,Tienda Ceramica Corona - Santa Lucia,Department Store,4.571093034953711,-74.1250942118669,5380ce07498ef71aaae5e9c5,2074
93,luz m asociados,Construction & Landscaping,4.569804929095488,-74.11914467811584,5ae881b5628c83002ceccc10,2077
94,Que Y Tacos Gourmet,Burger Joint,4.569680011792234,-74.10024347324803,5374138b498e5e72c876f1f6,2087
95,Tiendas Metro 20 De Julio,Grocery Store,4.569345626207857,-74.0999051646433,4e24517bb3add90f9f4b7b76,2087
96,Portal 20 de Julio,Bus Station,4.57113790407379,-74.09707165603707,50a4d365e4b0d3346943cdb5,2088
97,Drogueria Colsubsidio 20 de julio,Pharmacy,4.570014493525152,-74.09503547032818,527d625d11d28077fab36da1,2089
98,K-Tronix 20 De Julio,Electronics Store,4.569651832733109,-74.09340650589841,50d37167e4b03474919bcc3b,2090
99,Plaza de Mercado 20 de Julio,Food & Drink Shop,4.570311728139783,-74.09353269378754,52add18211d225e849696666,2090
100,Urbanos Food,Fast Food Restaurant,4.571003,-74.09045,5be4f8b7c53093002c04b5df,2092
101,Candelaria Bar,Pub,4.570881571772358,-74.08779105922626,538a88c4498e8301b3181456,2093
102,Salón De Eventos Gonzalo Jiménez De Quezada,Concert Hall,4.571158409118652,-74.08116912841797,522bf00711d2d9992d0c8c15,2096
103,Imternational Broaster,Fried Chicken Joint,4.5703480847314655,-74.0739037256701,5063c1d2e4b0768b7d9cd577,2100
104,crepes & panes,Breakfast Spot,4.5699545544180635,-74.07392093489412,4f68879fe4b0bb1b186b0ec7,2100
105,Restaurante LEE XING,Chinese Restaurant,4.573997434255857,-74.15659306983898,50be5ab4e4b0fd4a60e0d422,2141
106,Italian Pizza,Pizza Place,4.573908564180196,-74.15661600535363,4d7fa7c295c1a143af52e9f2,2141
107,CLUB TROPEZÓN 🍻,Buffet,4.573611665546531,-74.15565844521282,536534f0498e5b725e4b184c,2142
108,Parque Arborizadora Baja,Park,4.5733761244612845,-74.15144397527185,4fbbd63ee4b0b3a994ebebe3,2144
109,cigarreria z,Smoke Shop,4.57396298862704,-74.14999325811203,5123e4f8e4b0854583cfdf72,2145
110,Dialpa S.A.S.,Electronics Store,4.574252753879054,-74.13702807398414,5e1d7585e7117a0008a396ac,2151
111,iron body,Gym,4.574533462524414,-74.12702941894531,53e010de498e332eaf56c0c7,2156
112,Internacional De Mosaicos,Construction & Landscaping,4.572904985303791,-74.12390709480448,5659fe06498edac8baeacda1,2158
113,Arepas Paty,Arepa Restaurant,4.573884334910164,-74.10773976159163,4ebdda556c25dfd980c60fc7,2166
114,Bosque San Carlos,Park,4.574397031602281,-74.10578398758129,4e1085407d8b4d5613d24d70,2167
115,GIMNASIO STRONG BODY,Gym,4.57484326802169,-74.10385687068968,4fab2bc3e4b092915c209882,2168
116,Postreria Almibar,Dessert Shop,4.573019914423601,-74.10075387072071,4d2b6379ebacb1f736a00b50,2169
117,Doña Lola,South American Restaurant,4.573264490872433,-74.0991135553485,50da02d7e4b0feaa61ec21af,2170
118,Velodromo Primero De Mayo,Park,4.572940989170565,-74.08884647770863,4fd50887e4b0da8147e65c30,2175
